date,day_of_week,episode_number,week,day_in_week,phase,week_title,academic_focus,fixed_events,weekly_event_anchors,arc_turn,narrative_beat,continuity_handoff
2025-08-22,Friday,22,4,1,fall_classes,The First Limit,"Calculus I review, functions, graphical limits, and one-sided behavior",,First class meeting | Add-drop period | Heron Analytics selections,Nia and Julian step toward a relationship; Malik is selected as an analytics alternate rather than a full member.,"Dr. Brooks opens Calculus I with a graph whose value and limiting behavior disagree, unsettling Malik's answer-first habits.",
2025-08-23,Saturday,23,4,2,fall_classes,The First Limit,"Calculus I review, functions, graphical limits, and one-sided behavior",,First class meeting | Add-drop period | Heron Analytics selections,Nia and Julian step toward a relationship; Malik is selected as an analytics alternate rather than a full member.,"Nia volunteers an explanation, then realizes afterward that she spoke over a quieter classmate.",
2025-08-24,Sunday,24,4,3,fall_classes,The First Limit,"Calculus I review, functions, graphical limits, and one-sided behavior",,First class meeting | Add-drop period | Heron Analytics selections,Nia and Julian step toward a relationship; Malik is selected as an analytics alternate rather than a full member.,Malik receives alternate status for Heron Analytics and tells everyone that alternate was what he expected.,
2025-08-25,Monday,25,4,4,fall_classes,The First Limit,"Calculus I review, functions, graphical limits, and one-sided behavior",Fall classes begin | Fall add-drop begins,First class meeting | Add-drop period | Heron Analytics selections,Nia and Julian step toward a relationship; Malik is selected as an analytics alternate rather than a full member.,"DJ asks Malik to help compare two play-call datasets, giving Malik a concrete way to prove he belongs on the team.",
2025-08-26,Tuesday,26,4,5,fall_classes,The First Limit,"Calculus I review, functions, graphical limits, and one-sided behavior",,First class meeting | Add-drop period | Heron Analytics selections,Nia and Julian step toward a relationship; Malik is selected as an analytics alternate rather than a full member.,Julian and Nia share lunch at Copper Cup Cafe and agree that the Heritage Kickoff will be their first official date.,
2025-08-27,Wednesday,27,4,6,fall_classes,The First Limit,"Calculus I review, functions, graphical limits, and one-sided behavior",,First class meeting | Add-drop period | Heron Analytics selections,Nia and Julian step toward a relationship; Malik is selected as an analytics alternate rather than a full member.,A group limit problem forces Malik to ask the classmate Nia interrupted to complete the argument.,
2025-08-28,Thursday,28,4,7,fall_classes,The First Limit,"Calculus I review, functions, graphical limits, and one-sided behavior",,First class meeting | Add-drop period | Heron Analytics selections,Nia and Julian step toward a relationship; Malik is selected as an analytics alternate rather than a full member.,"Malik watches Nia leave with Julian, then turns his disappointment into an overambitious analytics work plan.",The opening football weekend will make Nia's romance and Malik's attempt to earn a team seat public.
2025-08-29,Friday,29,5,1,fall_classes,Kickoff,"Limit laws, infinite limits, continuity, and the first homework-set deadline",Fall add-drop ends,Heritage Kickoff Classic | Labor Day | Football analytics data review,"Nia and Julian's first date succeeds, and Malik's useful halftime observation earns him a trial seat on the analytics team.","Malik and Nia finish the first limit set before the Heritage Kickoff, but neither admits they wanted the afternoon together.",
2025-08-30,Saturday,30,5,2,fall_classes,Kickoff,"Limit laws, infinite limits, continuity, and the first homework-set deadline",,Heritage Kickoff Classic | Labor Day | Football analytics data review,"Nia and Julian's first date succeeds, and Malik's useful halftime observation earns him a trial seat on the analytics team.","At the game, Julian explains band cues to Nia while DJ waits on special teams for a chance that never comes.",
2025-08-31,Sunday,31,5,3,fall_classes,Kickoff,"Limit laws, infinite limits, continuity, and the first homework-set deadline",,Heritage Kickoff Classic | Labor Day | Football analytics data review,"Nia and Julian's first date succeeds, and Malik's useful halftime observation earns him a trial seat on the analytics team.","Malik spots a fourth-down tendency in the opponent data and sends it to Simone Hart, the analytics team lead.",
2025-09-01,Monday,32,5,4,fall_classes,Kickoff,"Limit laws, infinite limits, continuity, and the first homework-set deadline",Labor Day - university closed,Heritage Kickoff Classic | Labor Day | Football analytics data review,"Nia and Julian's first date succeeds, and Malik's useful halftime observation earns him a trial seat on the analytics team.",Nia and Julian walk Cypress Walk after the win and share a gentle first kiss near the closed radio booth.,
2025-09-02,Tuesday,33,5,5,fall_classes,Kickoff,"Limit laws, infinite limits, continuity, and the first homework-set deadline",,Heritage Kickoff Classic | Labor Day | Football analytics data review,"Nia and Julian's first date succeeds, and Malik's useful halftime observation earns him a trial seat on the analytics team.","On Labor Day, Malik learns his observation helped a second-half adjustment and is invited to a two-week team trial.",
2025-09-03,Wednesday,34,5,6,fall_classes,Kickoff,"Limit laws, infinite limits, continuity, and the first homework-set deadline",,Heritage Kickoff Classic | Labor Day | Football analytics data review,"Nia and Julian's first date succeeds, and Malik's useful halftime observation earns him a trial seat on the analytics team.",A continuity problem exposes a hole in Nia's algebra review because she spent the holiday answering club messages.,
2025-09-04,Thursday,35,5,7,fall_classes,Kickoff,"Limit laws, infinite limits, continuity, and the first homework-set deadline",,Heritage Kickoff Classic | Labor Day | Football analytics data review,"Nia and Julian's first date succeeds, and Malik's useful halftime observation earns him a trial seat on the analytics team.",Nia tells Malik that she and Julian are seeing each other; Malik congratulates her without pretending the news is easy.,Malik must prove he belongs on the analytics team while the first Calculus I test approaches.
2025-09-05,Friday,36,6,1,fall_classes,Continuity Under Pressure,"Continuity, the Intermediate Value Theorem, and the derivative as a limit",,Football road game | Analytics trial week | First exam review announced,"Malik's need to impress causes his first team error, while Nia learns that a new relationship still needs boundaries.","Malik submits an analytics chart without checking a missing-data gap, and Simone makes him explain the error to the team.",
2025-09-06,Saturday,37,6,2,fall_classes,Continuity Under Pressure,"Continuity, the Intermediate Value Theorem, and the derivative as a limit",,Football road game | Analytics trial week | First exam review announced,"Malik's need to impress causes his first team error, while Nia learns that a new relationship still needs boundaries.",Dr. Brooks derives instantaneous rate of change from a limit instead of giving the class a shortcut formula.,
2025-09-07,Sunday,38,6,3,fall_classes,Continuity Under Pressure,"Continuity, the Intermediate Value Theorem, and the derivative as a limit",,Football road game | Analytics trial week | First exam review announced,"Malik's need to impress causes his first team error, while Nia learns that a new relationship still needs boundaries.","Nia cancels a study block when Julian gets unexpected rehearsal time, then resents a choice he did not ask her to make.",
2025-09-08,Monday,39,6,4,fall_classes,Continuity Under Pressure,"Continuity, the Intermediate Value Theorem, and the derivative as a limit",,Football road game | Analytics trial week | First exam review announced,"Malik's need to impress causes his first team error, while Nia learns that a new relationship still needs boundaries.",Keisha points out that Nia is treating availability as affection and challenges her to restore the study block.,
2025-09-09,Tuesday,40,6,5,fall_classes,Continuity Under Pressure,"Continuity, the Intermediate Value Theorem, and the derivative as a limit",,Football road game | Analytics trial week | First exam review announced,"Malik's need to impress causes his first team error, while Nia learns that a new relationship still needs boundaries.","During the road game, DJ makes his college debut on special teams and forces a fumble despite McCall-Hart's loss.",
2025-09-10,Wednesday,41,6,6,fall_classes,Continuity Under Pressure,"Continuity, the Intermediate Value Theorem, and the derivative as a limit",,Football road game | Analytics trial week | First exam review announced,"Malik's need to impress causes his first team error, while Nia learns that a new relationship still needs boundaries.",Malik rebuilds the chart with uncertainty labels and earns Simone's respect by showing exactly where the model is weak.,
2025-09-11,Thursday,42,6,7,fall_classes,Continuity Under Pressure,"Continuity, the Intermediate Value Theorem, and the derivative as a limit",,Football road game | Analytics trial week | First exam review announced,"Malik's need to impress causes his first team error, while Nia learns that a new relationship still needs boundaries.",Nia tells Julian she cannot be on call around every rehearsal; he accepts the boundary more easily than she expected.,The first major test will show whether their improved decisions arrived soon enough.
2025-09-12,Friday,43,7,1,fall_classes,What the First Test Measures,"Derivative rules, test one on limits and continuity, and error analysis",,Football home opener | Calculus I test one | Analytics roster decision,Malik earns a full analytics seat but receives a poor calculus grade; public progress and private shame arrive together.,"The home opener fills Henry Boyd Stadium, and DJ's forced fumble earns him a place in the weekly highlight reel.",
2025-09-13,Saturday,44,7,2,fall_classes,What the First Test Measures,"Derivative rules, test one on limits and continuity, and error analysis",,Football home opener | Calculus I test one | Analytics roster decision,Malik earns a full analytics seat but receives a poor calculus grade; public progress and private shame arrive together.,Malik rushes through the calculus test so he can reach an analytics meeting and fails to justify two limit arguments.,
2025-09-14,Sunday,45,7,3,fall_classes,What the First Test Measures,"Derivative rules, test one on limits and continuity, and error analysis",,Football home opener | Calculus I test one | Analytics roster decision,Malik earns a full analytics seat but receives a poor calculus grade; public progress and private shame arrive together.,Nia does well but recognizes that her strongest answer came from the classmate she interrupted during week one.,
2025-09-15,Monday,46,7,4,fall_classes,What the First Test Measures,"Derivative rules, test one on limits and continuity, and error analysis",,Football home opener | Calculus I test one | Analytics roster decision,Malik earns a full analytics seat but receives a poor calculus grade; public progress and private shame arrive together.,Simone offers Malik a full roster seat based on his corrected model and willingness to own the mistake.,
2025-09-16,Tuesday,47,7,5,fall_classes,What the First Test Measures,"Derivative rules, test one on limits and continuity, and error analysis",,Football home opener | Calculus I test one | Analytics roster decision,Malik earns a full analytics seat but receives a poor calculus grade; public progress and private shame arrive together.,"Malik celebrates with DJ, then opens a test score far below anything he has shown his family before.",
2025-09-17,Wednesday,48,7,6,fall_classes,What the First Test Measures,"Derivative rules, test one on limits and continuity, and error analysis",,Football home opener | Calculus I test one | Analytics roster decision,Malik earns a full analytics seat but receives a poor calculus grade; public progress and private shame arrive together.,"He tells Nia the exam was fine and avoids Dr. Brooks's office hours, breaking their promise to be honest partners.",
2025-09-18,Thursday,49,7,7,fall_classes,What the First Test Measures,"Derivative rules, test one on limits and continuity, and error analysis",,Football home opener | Calculus I test one | Analytics roster decision,Malik earns a full analytics seat but receives a poor calculus grade; public progress and private shame arrive together.,Nia finds his abandoned test correction sheet and asks why he trusts her with goals but not with bad news.,"Before Malik can answer, a Gulf storm begins threatening his family in Gulfport."
2025-09-19,Friday,50,8,1,fall_classes,No Model for the Storm,"Product, quotient, and chain rules; interpreting changing rates",,Gulf storm watch | Campus supply drive | Math colloquium on uncertainty,The storm turns Malik's academic shame into a family crisis he can no longer manage alone.,"Malik's mother reports rising water near their Gulfport home, and he starts refreshing forecasts during calculus.",
2025-09-20,Saturday,51,8,2,fall_classes,No Model for the Storm,"Product, quotient, and chain rules; interpreting changing rates",,Gulf storm watch | Campus supply drive | Math colloquium on uncertainty,The storm turns Malik's academic shame into a family crisis he can no longer manage alone.,Dr. Bennett's uncertainty colloquium gives Malik language for ranges and risk but no emotional comfort.,
2025-09-21,Sunday,52,8,3,fall_classes,No Model for the Storm,"Product, quotient, and chain rules; interpreting changing rates",,Gulf storm watch | Campus supply drive | Math colloquium on uncertainty,The storm turns Malik's academic shame into a family crisis he can no longer manage alone.,"Nia organizes a supply table, then stops herself from taking over when Malik says he needs quiet rather than tasks.",
2025-09-22,Monday,53,8,4,fall_classes,No Model for the Storm,"Product, quotient, and chain rules; interpreting changing rates",,Gulf storm watch | Campus supply drive | Math colloquium on uncertainty,The storm turns Malik's academic shame into a family crisis he can no longer manage alone.,"Julian uses campus radio to share verified storm resources, giving Nia a view of him as a responsible partner.",
2025-09-23,Tuesday,54,8,5,fall_classes,No Model for the Storm,"Product, quotient, and chain rules; interpreting changing rates",,Gulf storm watch | Campus supply drive | Math colloquium on uncertainty,The storm turns Malik's academic shame into a family crisis he can no longer manage alone.,The storm floods the Baptistes' ground floor; Malik's father injures his leg while moving equipment during cleanup.,
2025-09-24,Wednesday,55,8,6,fall_classes,No Model for the Storm,"Product, quotient, and chain rules; interpreting changing rates",,Gulf storm watch | Campus supply drive | Math colloquium on uncertainty,The storm turns Malik's academic shame into a family crisis he can no longer manage alone.,Malik misses a quiz while trying to arrange transportation home and finally tells Dr. Brooks what happened.,
2025-09-25,Thursday,56,8,7,fall_classes,No Model for the Storm,"Product, quotient, and chain rules; interpreting changing rates",,Gulf storm watch | Campus supply drive | Math colloquium on uncertainty,The storm turns Malik's academic shame into a family crisis he can no longer manage alone.,"Nia and DJ drive Malik to the bus station, where he admits he does not know what his family will come back to.","Malik goes home, leaving coursework, the analytics model, and his feelings for Nia unresolved."
2025-09-26,Friday,57,9,1,fall_classes,What Water Takes,"Implicit differentiation, related rates, and documented make-up work",,Founders' Cup football weekend | Storm cleanup | Financial-aid emergency appointment,Malik sees the material and financial scale of his family's loss; Nia and Julian become an official couple.,"In Gulfport, Malik inventories ruined furniture and school records while his father begins a painful recovery.",
2025-09-27,Saturday,58,9,2,fall_classes,What Water Takes,"Implicit differentiation, related rates, and documented make-up work",,Founders' Cup football weekend | Storm cleanup | Financial-aid emergency appointment,Malik sees the material and financial scale of his family's loss; Nia and Julian become an official couple.,A related-rates assignment feels cruelly relevant until Malik uses it to explain rising-water timing to his younger cousin.,
2025-09-28,Sunday,59,9,3,fall_classes,What Water Takes,"Implicit differentiation, related rates, and documented make-up work",,Founders' Cup football weekend | Storm cleanup | Financial-aid emergency appointment,Malik sees the material and financial scale of his family's loss; Nia and Julian become an official couple.,"Simone divides Malik's analytics work among the team without blaming him, but the loss of control unsettles him.",
2025-09-29,Monday,60,9,4,fall_classes,What Water Takes,"Implicit differentiation, related rates, and documented make-up work",,Founders' Cup football weekend | Storm cleanup | Financial-aid emergency appointment,Malik sees the material and financial scale of his family's loss; Nia and Julian become an official couple.,"Back at McCall-Hart, Julian asks Nia to make their relationship official during the Founders' Bell ceremony.",
2025-09-30,Tuesday,61,9,5,fall_classes,What Water Takes,"Implicit differentiation, related rates, and documented make-up work",,Founders' Cup football weekend | Storm cleanup | Financial-aid emergency appointment,Malik sees the material and financial scale of his family's loss; Nia and Julian become an official couple.,"The Founders' Cup game becomes DJ's first extended offensive appearance, and he catches three difficult passes in a win.",
2025-10-01,Wednesday,62,9,6,fall_classes,What Water Takes,"Implicit differentiation, related rates, and documented make-up work",,Founders' Cup football weekend | Storm cleanup | Financial-aid emergency appointment,Malik sees the material and financial scale of his family's loss; Nia and Julian become an official couple.,Malik returns for an emergency financial-aid appointment and applies for evening work at North Star Learning Commons.,
2025-10-02,Thursday,63,9,7,fall_classes,What Water Takes,"Implicit differentiation, related rates, and documented make-up work",,Founders' Cup football weekend | Storm cleanup | Financial-aid emergency appointment,Malik sees the material and financial scale of his family's loss; Nia and Julian become an official couple.,"He sees Nia and Julian holding hands, feels both glad and hurt, and chooses not to make Nia manage his disappointment.","Malik must balance paid work, make-up calculus, family calls, and an analytics deadline in the same week."
2025-10-03,Friday,64,10,1,fall_classes,The Cost of Looking Fine,"Linear approximation, differentials, and an applications exam",,North Star work-study begins | Analytics model checkpoint | First relationship conflict,"Malik's concealment costs him academically, and Nia's habit of overgiving creates friction with Julian.",Malik begins a late shift checking students into North Star and falls asleep over a linearization problem afterward.,
2025-10-04,Saturday,65,10,2,fall_classes,The Cost of Looking Fine,"Linear approximation, differentials, and an applications exam",,North Star work-study begins | Analytics model checkpoint | First relationship conflict,"Malik's concealment costs him academically, and Nia's habit of overgiving creates friction with Julian.","He gives the analytics team a polished forecast that hides a wide error range, and Simone refuses to present it.",
2025-10-05,Sunday,66,10,3,fall_classes,The Cost of Looking Fine,"Linear approximation, differentials, and an applications exam",,North Star work-study begins | Analytics model checkpoint | First relationship conflict,"Malik's concealment costs him academically, and Nia's habit of overgiving creates friction with Julian.","Nia promises Julian she will attend a media showcase, then agrees to lead an overlapping calculus review without telling him.",
2025-10-06,Monday,67,10,4,fall_classes,The Cost of Looking Fine,"Linear approximation, differentials, and an applications exam",,North Star work-study begins | Analytics model checkpoint | First relationship conflict,"Malik's concealment costs him academically, and Nia's habit of overgiving creates friction with Julian.",The applications exam includes a justification Malik practiced but cannot retrieve after another midnight family call.,
2025-10-07,Tuesday,68,10,5,fall_classes,The Cost of Looking Fine,"Linear approximation, differentials, and an applications exam",,North Star work-study begins | Analytics model checkpoint | First relationship conflict,"Malik's concealment costs him academically, and Nia's habit of overgiving creates friction with Julian.",Julian learns about Nia's conflict from a flyer and asks why she keeps making him discover her choices in public.,
2025-10-08,Wednesday,69,10,6,fall_classes,The Cost of Looking Fine,"Linear approximation, differentials, and an applications exam",,North Star work-study begins | Analytics model checkpoint | First relationship conflict,"Malik's concealment costs him academically, and Nia's habit of overgiving creates friction with Julian.",Malik finally shows Nia his poor first test and unfinished make-up work; she listens without turning the moment into a rescue plan.,
2025-10-09,Thursday,70,10,7,fall_classes,The Cost of Looking Fine,"Linear approximation, differentials, and an applications exam",,North Star work-study begins | Analytics model checkpoint | First relationship conflict,"Malik's concealment costs him academically, and Nia's habit of overgiving creates friction with Julian.",He tells Dr. Brooks the full truth and accepts a reduced analytics role until his coursework stabilizes.,Cypress Week will test whether boundaries and reduced responsibilities survive the loudest week of fall.
2025-10-10,Friday,71,11,1,fall_classes,Cypress Week,"Critical points, curve sketching, optimization, and interpreting derivative signs",,Homecoming service day | Battle of the Bands | Homecoming football game,DJ achieves a public sports breakthrough while Nia and Julian's relationship begins to crack under public obligations.,Nia chooses one homecoming service project instead of five and thinks she has solved her overcommitment problem.,
2025-10-11,Saturday,72,11,2,fall_classes,Cypress Week,"Critical points, curve sketching, optimization, and interpreting derivative signs",,Homecoming service day | Battle of the Bands | Homecoming football game,DJ achieves a public sports breakthrough while Nia and Julian's relationship begins to crack under public obligations.,"An optimization task asks the class to maximize revenue with constraints, giving Malik a route back into focused work.",
2025-10-12,Sunday,73,11,3,fall_classes,Cypress Week,"Critical points, curve sketching, optimization, and interpreting derivative signs",,Homecoming service day | Battle of the Bands | Homecoming football game,DJ achieves a public sports breakthrough while Nia and Julian's relationship begins to crack under public obligations.,"Julian's media and band schedules consume every planned date, while he assumes Nia understands because she is also busy.",
2025-10-13,Monday,74,11,4,fall_classes,Cypress Week,"Critical points, curve sketching, optimization, and interpreting derivative signs",,Homecoming service day | Battle of the Bands | Homecoming football game,DJ achieves a public sports breakthrough while Nia and Julian's relationship begins to crack under public obligations.,"At Battle of the Bands, Nia watches Julian perform brilliantly but cannot get five private minutes with him afterward.",
2025-10-14,Tuesday,75,11,5,fall_classes,Cypress Week,"Critical points, curve sketching, optimization, and interpreting derivative signs",,Homecoming service day | Battle of the Bands | Homecoming football game,DJ achieves a public sports breakthrough while Nia and Julian's relationship begins to crack under public obligations.,DJ enters the homecoming game after an injury ahead of him and catches the touchdown that changes his place on the depth chart.,
2025-10-15,Wednesday,76,11,6,fall_classes,Cypress Week,"Critical points, curve sketching, optimization, and interpreting derivative signs",,Homecoming service day | Battle of the Bands | Homecoming football game,DJ achieves a public sports breakthrough while Nia and Julian's relationship begins to crack under public obligations.,"Malik's corrected fourth-down model supports a successful late-game decision, but he credits Simone and the full team publicly.",
2025-10-16,Thursday,77,11,7,fall_classes,Cypress Week,"Critical points, curve sketching, optimization, and interpreting derivative signs",,Homecoming service day | Battle of the Bands | Homecoming football game,DJ achieves a public sports breakthrough while Nia and Julian's relationship begins to crack under public obligations.,Nia and Julian argue on Cypress Walk when he posts a perfect homecoming photo that hides how disconnected they felt.,"The campus returns to ordinary life, where Nia and Julian must decide whether the argument was a bad night or a warning."
2025-10-17,Friday,78,12,1,fall_classes,The Maximum Is Not the Meaning,"Optimization applications, Mean Value Theorem, and test two corrections",,Applied mathematics colloquium | Analytics regional submission | Relationship repair attempt,Malik's team submits a competitive regional model; Nia and Julian repair the surface of their conflict but not its cause.,Dr. Price gives a colloquium on optimizing evacuation routes without treating people as interchangeable points.,
2025-10-18,Saturday,79,12,2,fall_classes,The Maximum Is Not the Meaning,"Optimization applications, Mean Value Theorem, and test two corrections",,Applied mathematics colloquium | Analytics regional submission | Relationship repair attempt,Malik's team submits a competitive regional model; Nia and Julian repair the surface of their conflict but not its cause.,Nia recognizes the same error in her own life: maximizing commitments has minimized her attention.,
2025-10-19,Sunday,80,12,3,fall_classes,The Maximum Is Not the Meaning,"Optimization applications, Mean Value Theorem, and test two corrections",,Applied mathematics colloquium | Analytics regional submission | Relationship repair attempt,Malik's team submits a competitive regional model; Nia and Julian repair the surface of their conflict but not its cause.,Malik and Simone revise the analytics model around uncertainty intervals instead of a single confident answer.,
2025-10-20,Monday,81,12,4,fall_classes,The Maximum Is Not the Meaning,"Optimization applications, Mean Value Theorem, and test two corrections",,Applied mathematics colloquium | Analytics regional submission | Relationship repair attempt,Malik's team submits a competitive regional model; Nia and Julian repair the surface of their conflict but not its cause.,Julian plans a quiet dinner and apologizes for turning their relationship into content during homecoming.,
2025-10-21,Tuesday,82,12,5,fall_classes,The Maximum Is Not the Meaning,"Optimization applications, Mean Value Theorem, and test two corrections",,Applied mathematics colloquium | Analytics regional submission | Relationship repair attempt,Malik's team submits a competitive regional model; Nia and Julian repair the surface of their conflict but not its cause.,"Nia apologizes for assuming love means endless flexibility, and they agree to protect one private evening each week.",
